Airport Code,Airport Name,City ,State,Airline,Facility,Weekday,Saturday,Sunday,latitude_deg,longitude_deg
BDL,Bradley International,Windsor Locks,Connecticut,Southwest,Dedicated Facility,5:00-22:00,7:00-20:00,8:00-18:00,41.93851,-72.688066
BDL,Bradley International Airport,Windsor Locks,CT,American,AA Cargo Directory,8:00-17:00,8:00-17:00,,41.93851,-72.688066
BDL,Bradley International Airport,Windsor Locks,CT,Delta,Delta Cargo Directory,8:00-17:00,8:00-17:00,,41.93851,-72.688066
BDL,Bradley International Airport,Windsor Locks,CT,Southwest,Southwest Cargo,6:00-22:00,6:00-22:00,,41.93851,-72.688066
BDL,Bradley International Airport,Windsor Locks,CT,United,United Cargo,No Cargo,No Cargo,,41.93851,-72.688066
BET,Bethel Airport,Bethel,Alaska,Alaska Airlines,Counter,6:00-22:00,6:00-20:00,8:00-16:00,60.77980042,-161.8379974
BET,Bethel Airport,Bethel,Alaska,Alaska Airlines,Counter,6:00-22:00,6:00-20:00,8:00-16:00,60.77980042,-161.8379974
BFI,Boeing Field/King County International,Seattle,Washington,Amazon Air,Dedicated Facility,24/7,24/7,24/7,47.529999,-122.302002
BFL,Meadows Field,Bakersfield,California,American Eagle,Counter,5:30-21:00,6:00-18:00,N/A,35.433601,-119.056999
BFL,Meadows Field,Bakersfield,California,American Eagle,Counter,5:30-21:00,6:00-18:00,N/A,35.433601,-119.056999
BGM,Greater Binghamton Airport,Binghamton,New York,American Eagle,Counter,6:00-20:00,7:00-18:00,N/A,42.20869827,-75.97979736
BGM,Greater Binghamton Airport,Binghamton,New York,American Eagle,Counter,6:00-20:00,7:00-18:00,N/A,42.20869827,-75.97979736
BGR,Bangor International,Bangor,Maine,American,Dedicated Facility,5:00-22:00,7:00-20:00,8:00-18:00,44.8074,-68.828102
BGR,Bangor International,Bangor,Maine,American,Dedicated Facility,5:00-22:00,7:00-20:00,8:00-18:00,44.8074,-68.828102
BHB,Hancock County-Bar Harbor,Bar Harbor,Maine,Cape Air,Counter,7:00-19:00,7:00-15:00,N/A,44.45000076,-68.3615036
BHB,Hancock County-Bar Harbor,Bar Harbor,Maine,Cape Air,Counter,7:00-19:00,7:00-15:00,N/A,44.45000076,-68.3615036
BHM,Birmingham-Shuttlesworth International,Birmingham,Alabama,American,AA Cargo Directory,8:00-17:00,8:00-17:00,,33.562901,-86.753502
BHM,Birmingham-Shuttlesworth International,Birmingham,Alabama,American,Dedicated Facility,4:00-20:00,6:00-16:00,N/A,33.562901,-86.753502
BHM,Birmingham-Shuttlesworth International,Birmingham,Alabama,American,Dedicated Facility,4:00-20:00,6:00-16:00,N/A,33.562901,-86.753502
BHM,Birmingham-Shuttlesworth International,Birmingham,Alabama,Delta,Delta Cargo Directory,8:00-17:00,8:00-17:00,,33.562901,-86.753502
BHM,Birmingham-Shuttlesworth International,Birmingham,Alabama,Delta,Dedicated Facility,4:00-20:00,6:00-16:00,N/A,33.562901,-86.753502
BHM,Birmingham-Shuttlesworth International,Birmingham,Alabama,Delta,Dedicated Facility,4:00-20:00,6:00-16:00,N/A,33.562901,-86.753502
BHM,Birmingham-Shuttlesworth International,Birmingham,Alabama,Southwest,Southwest Cargo,6:00-22:00,6:00-22:00,,33.562901,-86.753502
BHM,Birmingham-Shuttlesworth International,Birmingham,Alabama,Southwest,Dedicated Facility,4:00-20:00,6:00-16:00,N/A,33.562901,-86.753502
BHM,Birmingham-Shuttlesworth International,Birmingham,Alabama,Southwest,Dedicated Facility,4:00-20:00,6:00-16:00,N/A,33.562901,-86.753502
BHM,Birmingham-Shuttlesworth International,Birmingham,Alabama,United,United Cargo,No Cargo,No Cargo,,33.562901,-86.753502
BIL,Billings Logan International,Billings,Montana,Allegiant,Dedicated Facility,5:00-22:00,7:00-20:00,8:00-18:00,45.807701,-108.542999
BIL,Billings Logan International,Billings,Montana,Allegiant,Dedicated Facility,5:00-22:00,7:00-20:00,8:00-18:00,45.807701,-108.542999
BIL,Billings Logan International,Billings,Montana,Allegiant,Dedicated Facility,5:00-22:00,7:00-20:00,8:00-18:00,45.807701,-108.542999
BIL,Billings Logan International,Billings,Montana,Delta,Dedicated Facility,5:00-22:00,7:00-20:00,8:00-18:00,45.807701,-108.542999
BIL,Billings Logan International,Billings,Montana,Delta,Dedicated Facility,5:00-22:00,7:00-20:00,8:00-18:00,45.807701,-108.542999
BIL,Billings Logan International,Billings,Montana,Delta,Dedicated Facility,5:00-22:00,7:00-20:00,8:00-18:00,45.807701,-108.542999
BIL,Billings Logan International Airport,Billings,MT,American,AA Cargo Directory,No Cargo,No Cargo,,45.807701,-108.542999
BIL,Billings Logan International Airport,Billings,MT,Delta,Delta Cargo Directory,No Cargo,No Cargo,,45.807701,-108.542999
BIL,Billings Logan International Airport,Billings,MT,Southwest,Southwest Cargo,No Cargo,No Cargo,,45.807701,-108.542999
BIL,Billings Logan International Airport,Billings,MT,United,United Cargo,No Cargo,No Cargo,,45.807701,-108.542999
BIS,Bismarck Municipal,Bismarck,North Dakota,Delta Connection,Counter,5:30-21:00,6:00-18:00,N/A,46.772701263427734,-100.7460022
BIS,Bismarck Municipal,Bismarck,North Dakota,Delta Connection,Counter,5:30-21:00,6:00-18:00,N/A,46.772701263427734,-100.7460022
BJI,Bemidji Regional,Bemidji,Minnesota,Delta Connection,Counter,5:30-21:00,6:00-18:00,N/A,,
BJI,Bemidji Regional,Bemidji,Minnesota,Delta Connection,Counter,5:30-21:00,6:00-18:00,N/A,,
BKW,Raleigh County Memorial,Beckley,West Virginia,American Eagle,Counter,6:00-20:00,7:00-18:00,N/A,37.7873,-81.124199
BKW,Raleigh County Memorial,Beckley,West Virginia,American Eagle,Counter,6:00-20:00,7:00-18:00,N/A,37.7873,-81.124199
BLI,Bellingham International,Bellingham,Washington,Alaska Airlines,Counter,5:30-21:00,6:00-18:00,N/A,48.79280090332031,-122.538002
BLI,Bellingham International,Bellingham,Washington,Alaska Airlines,Counter,5:30-21:00,6:00-18:00,N/A,48.79280090332031,-122.538002
BNA,Nashville International,Nashville,Tennessee,Allegiant,Dedicated Facility,5:00-22:00,7:00-20:00,8:00-18:00,36.1245,-86.6782
BNA,Nashville International,Nashville,Tennessee,Allegiant,Dedicated Facility,5:00-22:00,7:00-20:00,8:00-18:00,36.1245,-86.6782
BNA,Nashville International,Nashville,Tennessee,Southwest,Dedicated Facility,5:00-22:00,7:00-20:00,8:00-18:00,36.1245,-86.6782
BNA,Nashville International,Nashville,Tennessee,Southwest,Dedicated Facility,5:00-22:00,7:00-20:00,8:00-18:00,36.1245,-86.6782
BNA,Nashville International Airport,Nashville,TN,American,AA Cargo Directory,8:00-17:00,8:00-17:00,,36.1245,-86.6782
BNA,Nashville International Airport,Nashville,TN,Delta,Delta Cargo Directory,8:00-17:00,8:00-17:00,,36.1245,-86.6782
BNA,Nashville International Airport,Nashville,TN,Southwest,Southwest Cargo,6:00-22:00,6:00-22:00,,36.1245,-86.6782
BNA,Nashville International Airport,Nashville,TN,United,United Cargo,8:00-17:00,8:00-17:00,,36.1245,-86.6782
BOI,Boise Air Terminal/Gowen Field,Boise,ID,American,AA Cargo Directory,8:00-17:00,8:00-17:00,,43.5644,-116.223
BOI,Boise Air Terminal/Gowen Field,Boise,ID,Delta,Delta Cargo Directory,8:00-17:00,8:00-17:00,,43.5644,-116.223
BOI,Boise Air Terminal/Gowen Field,Boise,ID,Southwest,Southwest Cargo,6:00-22:00,6:00-22:00,,43.5644,-116.223
BOI,Boise Air Terminal/Gowen Field,Boise,ID,United,United Cargo,No Cargo,No Cargo,,43.5644,-116.223
BOI,Boise Air Trml/Gowen Field,Boise,Idaho,Alaska Airlines,Dedicated Facility,5:00-22:00,7:00-20:00,8:00-18:00,43.5644,-116.223
BOI,Boise Air Terminal,Boise,Idaho,Alaska Airlines,Dedicated Facility,5:00-22:00,7:00-20:00,8:00-18:00,43.5644,-116.223
BOI,Boise Air Terminal,Boise,Idaho,Alaska Airlines,Dedicated Facility,5:00-22:00,7:00-20:00,8:00-18:00,43.5644,-116.223
BOI,Boise Air Trml/Gowen Field,Boise,Idaho,Southwest,Dedicated Facility,5:00-22:00,7:00-20:00,8:00-18:00,43.5644,-116.223
BOI,Boise Air Terminal,Boise,Idaho,Southwest,Dedicated Facility,5:00-22:00,7:00-20:00,8:00-18:00,43.5644,-116.223
BOI,Boise Air Terminal,Boise,Idaho,Southwest,Dedicated Facility,5:00-22:00,7:00-20:00,8:00-18:00,43.5644,-116.223
BOS,General Edward Lawrence Logan International,Boston,Massachusetts,Delta,Dedicated Facility,5:00-23:00,7:00-21:00,8:00-20:00,42.36197,-71.0079
BOS,General Edward Lawrence Logan International,Boston,Massachusetts,Delta,Dedicated Facility,5:00-23:00,7:00-21:00,8:00-20:00,42.36197,-71.0079
BOS,General Edward Lawrence Logan International,Boston,Massachusetts,JetBlue,Dedicated Facility,5:00-23:00,7:00-21:00,8:00-20:00,42.36197,-71.0079
BOS,General Edward Lawrence Logan International,Boston,Massachusetts,JetBlue,Dedicated Facility,5:00-23:00,7:00-21:00,8:00-20:00,42.36197,-71.0079
BPT,Jack Brooks Regional,Beaumont,Texas,American Eagle,Counter,5:30-21:00,6:00-18:00,N/A,29.9508,-94.020699
BPT,Jack Brooks Regional,Beaumont,Texas,American Eagle,Counter,5:30-21:00,6:00-18:00,N/A,29.9508,-94.020699
BQK,Brunswick Golden Isles,Brunswick,Georgia,Delta Connection,Counter,6:00-20:00,7:00-18:00,N/A,31.258801,-81.466499
BQK,Brunswick Golden Isles,Brunswick,Georgia,Delta Connection,Counter,6:00-20:00,7:00-18:00,N/A,31.258801,-81.466499
BQN,Rafael Hernandez,Aguadilla,Puerto Rico,United Express,Counter,5:30-21:00,6:00-18:00,N/A,,
BQN,Rafael Hernandez,Aguadilla,Puerto Rico,United Express,Counter,5:30-21:00,6:00-18:00,N/A,,
BRD,Brainerd Lakes Regional,Brainerd,Minnesota,Delta Connection,Counter,5:30-21:00,6:00-18:00,N/A,46.402861,-94.129727
BRD,Brainerd Lakes Regional,Brainerd,Minnesota,Delta Connection,Counter,5:30-21:00,6:00-18:00,N/A,46.402861,-94.129727
BRO,Brownsville/South Padre Island International,Brownsville,Texas,American Eagle,Counter,5:30-21:00,6:00-18:00,N/A,25.90679931640625,-97.42590332
BRO,Brownsville/South Padre Island International,Brownsville,Texas,American Eagle,Counter,5:30-21:00,6:00-18:00,N/A,25.90679931640625,-97.42590332
BRW,Wiley Post-Will Rogers Memorial,Barrow,Alaska,Alaska Airlines,Counter,6:00-22:00,6:00-20:00,8:00-16:00,71.285402,-156.766008
BRW,Wiley Post-Will Rogers Memorial,Barrow,Alaska,Alaska Airlines,Counter,6:00-22:00,6:00-20:00,8:00-16:00,71.285402,-156.766008
BTM,Bert Mooney,Butte,Montana,Delta Connection,Counter,6:00-20:00,7:00-18:00,N/A,45.95479965209961,-112.4970016
BTM,Bert Mooney,Butte,Montana,Delta Connection,Counter,6:00-20:00,7:00-18:00,N/A,45.95479965209961,-112.4970016
BTR,Baton Rouge Metropolitan,Baton Rouge,Louisiana,American,Dedicated Facility,5:00-22:00,7:00-20:00,8:00-18:00,30.533199,-91.149597
BTR,Baton Rouge Metropolitan,Baton Rouge,Louisiana,American,Dedicated Facility,5:00-22:00,7:00-20:00,8:00-18:00,30.533199,-91.149597
BTV,Patrick Leahy Burlington International,Burlington,Vermont,American,Dedicated Facility,5:00-22:00,7:00-20:00,8:00-18:00,44.471901,-73.153297
BTV,Patrick Leahy Burlington International,Burlington,Vermont,American,Dedicated Facility,5:00-22:00,7:00-20:00,8:00-18:00,44.471901,-73.153297
BUF,Buffalo Niagara International,Buffalo,New York,JetBlue,Dedicated Facility,5:00-22:00,7:00-20:00,8:00-18:00,42.940498,-78.732201
BUF,Buffalo Niagara International,Buffalo,New York,JetBlue,Dedicated Facility,5:00-22:00,7:00-20:00,8:00-18:00,42.940498,-78.732201
BUF,Buffalo Niagara International,Buffalo,New York,JetBlue,Dedicated Facility,5:00-22:00,7:00-20:00,8:00-18:00,42.940498,-78.732201
BUF,Buffalo Niagara International,Buffalo,New York,Southwest,Dedicated Facility,5:00-22:00,7:00-20:00,8:00-18:00,42.940498,-78.732201
BUF,Buffalo Niagara International,Buffalo,New York,Southwest,Dedicated Facility,5:00-22:00,7:00-20:00,8:00-18:00,42.940498,-78.732201
BUF,Buffalo Niagara International,Buffalo,New York,Southwest,Dedicated Facility,5:00-22:00,7:00-20:00,8:00-18:00,42.940498,-78.732201
BUF,Buffalo Niagara International Airport,Buffalo,NY,American,AA Cargo Directory,8:00-17:00,8:00-17:00,,42.940498,-78.732201
BUF,Buffalo Niagara International Airport,Buffalo,NY,Delta,Delta Cargo Directory,8:00-17:00,8:00-17:00,,42.940498,-78.732201
BUF,Buffalo Niagara International Airport,Buffalo,NY,Southwest,Southwest Cargo,6:00-22:00,6:00-22:00,,42.940498,-78.732201
BUF,Buffalo Niagara International Airport,Buffalo,NY,United,United Cargo,No Cargo,No Cargo,,42.940498,-78.732201
BUR,Hollywood Burbank,Burbank,California,Southwest,Counter,5:00-22:00,7:00-20:00,8:00-18:00,34.197703,-118.356378
BUR,Hollywood Burbank,Burbank,California,Southwest,Counter,5:00-22:00,7:00-20:00,8:00-18:00,34.197703,-118.356378
BWI,Baltimore/Washington International Thurgood Marshall,Glen Burnie,Maryland,Amazon Air,Dedicated Facility,4:00-23:00,6:00-20:00,8:00-18:00,39.1754,-76.668297
BWI,Baltimore/Washington International Thurgood Marshall,Glen Burnie,Maryland,Amazon Air,Dedicated Facility,4:00-23:00,6:00-20:00,8:00-18:00,39.1754,-76.668297
BWI,Baltimore/Washington International Thurgood Marshall,Glen Burnie,Maryland,Southwest,Dedicated Facility,4:00-23:00,6:00-20:00,8:00-18:00,39.1754,-76.668297
BWI,Baltimore/Washington International Thurgood Marshall,Glen Burnie,Maryland,Southwest,Dedicated Facility,4:00-23:00,6:00-20:00,8:00-18:00,39.1754,-76.668297
BWI,Baltimore/Washington International Thurgood Marshall Airport,Glen Burnie,MD,American,AA Cargo Directory,7:00-19:00,8:00-16:30,,39.1754,-76.668297
BWI,Baltimore/Washington International Thurgood Marshall Airport,Glen Burnie,MD,Delta,Delta Cargo Directory,8:00-17:00,8:00-17:00,,39.1754,-76.668297
BWI,Baltimore/Washington International Thurgood Marshall Airport,Glen Burnie,MD,Southwest,Southwest Cargo,4:30-1:00,5:00-21:30,,39.1754,-76.668297
BWI,Baltimore/Washington International Thurgood Marshall Airport,Glen Burnie,MD,United,United Cargo,7:00-19:00,7:00-19:00,,39.1754,-76.668297
BZN,Bozeman Yellowstone,Bozeman,Montana,Delta,Dedicated Facility,5:00-22:00,7:00-20:00,8:00-18:00,45.7775,-111.153
BZN,Bozeman Yellowstone,Bozeman,Montana,Delta,Dedicated Facility,5:00-22:00,7:00-20:00,8:00-18:00,45.7775,-111.153
CAE,Columbia Metropolitan Airport,Columbia,SC,American,AA Cargo Directory,8:00-17:00,8:00-17:00,,33.938801,-81.119499
CAE,Columbia Metropolitan Airport,Columbia,SC,Delta,Delta Cargo Directory,8:00-17:00,8:00-17:00,,33.938801,-81.119499
CAE,Columbia Metropolitan Airport,Columbia,SC,Southwest,Southwest Cargo,No Cargo,No Cargo,,33.938801,-81.119499
CAE,Columbia Metropolitan Airport,Columbia,SC,United,United Cargo,No Cargo,No Cargo,,33.938801,-81.119499
CAE,Columbia Metropolitan,Columbia,South Carolina,American,Dedicated Facility,5:00-22:00,7:00-20:00,8:00-18:00,33.938801,-81.119499
CAE,Columbia Metropolitan,Columbia,South Carolina,American,Dedicated Facility,5:00-22:00,7:00-20:00,8:00-18:00,33.938801,-81.119499
CAK,Akron-Canton,Akron,Ohio,American Eagle,Counter,5:30-21:00,6:00-18:00,N/A,40.916099548339844,-81.44219971
CAK,Akron-Canton,Akron,Ohio,American Eagle,Counter,5:30-21:00,6:00-18:00,N/A,40.916099548339844,-81.44219971
CDC,Cedar City Regional,Cedar City,Utah,Delta Connection,Counter,6:00-20:00,7:00-18:00,N/A,37.70100021362305,-113.098999
CDC,Cedar City Regional,Cedar City,Utah,Delta Connection,Counter,6:00-20:00,7:00-18:00,N/A,37.70100021362305,-113.098999
CDV,Merle K (Mudhole) Smith,Cordova,Alaska,Alaska Airlines,Counter,6:00-22:00,6:00-20:00,8:00-16:00,60.491798,-145.477997
CDV,Merle K (Mudhole) Smith,Cordova,Alaska,Alaska Airlines,Counter,6:00-22:00,6:00-20:00,8:00-16:00,60.491798,-145.477997
CEC,Jack McNamara Field,Crescent City,California,United Express,Counter,6:00-20:00,7:00-18:00,N/A,41.778929,-124.236403
CEC,Jack McNamara Field,Crescent City,California,United Express,Counter,6:00-20:00,7:00-18:00,N/A,41.778929,-124.236403
CHA,Lovell Field,Chattanooga,Tennessee,Allegiant,Dedicated Facility,5:00-22:00,7:00-20:00,8:00-18:00,35.035301,-85.203796
CHA,Lovell Field,Chattanooga,Tennessee,Allegiant,Dedicated Facility,5:00-22:00,7:00-20:00,8:00-18:00,35.035301,-85.203796
CHA,Lovell Field,Chattanooga,Tennessee,Allegiant,Dedicated Facility,5:00-22:00,7:00-20:00,8:00-18:00,35.035301,-85.203796
CHA,Lovell Field,Chattanooga,Tennessee,American,Dedicated Facility,5:00-22:00,7:00-20:00,8:00-18:00,35.035301,-85.203796
CHA,Lovell Field,Chattanooga,Tennessee,American,Dedicated Facility,5:00-22:00,7:00-20:00,8:00-18:00,35.035301,-85.203796
CHA,Lovell Field,Chattanooga,Tennessee,American,Dedicated Facility,5:00-22:00,7:00-20:00,8:00-18:00,35.035301,-85.203796
CHO,Charlottesville-Albemarle,Charlottesville,Virginia,American Eagle,Counter,5:30-21:00,6:00-18:00,N/A,38.13859939575195,-78.45290375
CHO,Charlottesville-Albemarle,Charlottesville,Virginia,American Eagle,Counter,5:30-21:00,6:00-18:00,N/A,38.13859939575195,-78.45290375
CHS,Charleston AFB/International,Charleston,South Carolina,American,Dedicated Facility,5:00-22:00,7:00-20:00,8:00-18:00,32.898602,-80.040497
